Name,Age,Nationality,Fifa Score,Club,Value,Salary
J. Roberts,23,England,61,Crawley Town,€325K,€2K
A. Jezawi,28,Saudi Arabia,61,Al Raed,€250K,€4K
N. Low,25,Scotland,61,Derry City,€325K,€2K
B. Clarke,31,Republic of Ireland,61,Limerick FC,€150K,€1K
Wanderson,28,Brazil,61,Pohang Steelers,€260K,€3K
L. Grorud,33,Norway,61,Sandefjord Fotball,€100K,€1K
L. Stulac,22,Slovenia,61,F.B.C. Unione Venezia,€290K,€1K
J. Joronen,24,Finland,61,AC Horsens,€250K,€2K
Navas,22,Spain,61,UD Almería,€325K,€2K
T. Figueroa,25,Argentina,61,Belgrano de Córdoba,€350K,€3K
M. Greve,22,Denmark,61,Odense Boldklub,€375K,€3K
E. Cedillo,21,Mexico,61,Club América,€350K,€6K
T. Christensen,33,Denmark,61,Lyngby BK,€100K,€2K
J. Stephens,23,England,61,Barnet,€230K,€2K
A. Troshechkin,21,Russia,61,FC Tosno,€325K,€4K
J. Anyon,30,England,61,Chesterfield,€160K,€2K
K. Sekiguchi,31,Japan,61,Cerezo Osaka,€220K,€1K
T. Hagn,22,Germany,61,SpVgg Unterhaching,€290K,€1K
H. Middleton,22,England,61,Port Vale,€350K,€3K
R. Caballuci,24,Argentina,61,Bahía Blanca,€300K,€2K
T. Nichols,23,England,61,Bristol Rovers,€325K,€2K
T. Moore,20,England,61,Cheltenham Town,€425K,€6K
Luong Xuan Truong,22,Vietnam,61,Gangwon FC,€350K,€1K
S. Villa,21,Colombia,61,Deportes Tolima,€450K,€1K
T. Hübers,20,Germany,61,Hannover 96,€375K,€5K
Q. Laçi,21,Albania,61,AC Ajaccio,€400K,€1K
L. Waterfall,26,England,61,Lincoln City,€250K,€3K
O. Rathbone,20,England,61,Rochdale,€400K,€1K
L. Walters,22,England,61,Nottingham Forest,€400K,€5K
D. Tshiembe,25,DR Congo,61,AC Horsens,€300K,€2K
C. Boukholda,21,France,61,LOSC Lille,€400K,€6K
Genaro,19,Spain,61,Sevilla Atlético,€475K,€1K
J. Johansen,32,Norway,61,Tromsø IL,€190K,€1K
N. Belloni,22,Italy,61,Carpi,€350K,€9K
M. Palacios,24,Colombia,61,Alianza Petrolera,€350K,€1K
B. Wilson,20,Australia,61,Perth Glory,€550K,€2K
S. Starke Hedlund,22,Sweden,61,Kalmar FF,€325K,€1K
I. Ganago,18,Cameroon,61,OGC Nice,€525K,€4K
P. Paton,30,Northern Ireland,61,St. Johnstone FC,€230K,€2K
M. Vallecilla,26,Colombia,61,Atlético Huila,€250K,€1K
Z. Clark,25,Scotland,61,St. Johnstone FC,€240K,€1K
M. Clark,21,England,61,Hull City,€350K,€2K
A. McCarey,25,Republic of Ireland,61,Ross County FC,€230K,€1K
K. Edwards,19,England,61,Exeter City,€550K,€6K
O. Hawkins,25,England,61,Portsmouth,€350K,€3K
C. MacGillivray,24,England,61,Shrewsbury,€250K,€1K
L. Contin,21,Argentina,61,Gimnasia y Esgrima La Plata,€350K,€3K
T. Edwards,18,England,61,Stoke City,€450K,€5K
C. Horton,22,United States,61,D.C. United,€300K,€1K
F. Jagiełło,19,Poland,61,Zagłębie Lubin,€425K,€1K
A. Confais,20,France,61,ES Troyes AC,€425K,€3K
J. Aguirre,25,Colombia,61,Atlético Bucaramanga,€240K,€1K
G. Malcore,23,Italy,61,Carpi,€350K,€1K
E. Zenga,24,Germany,61,Hallescher FC,€270K,€1K
P. Wiesinger,23,Austria,61,LASK Linz,€300K,€3K
J. Stertzer,26,United States,61,New York City Football Club,€300K,€2K
D. Snepvangers,19,Netherlands,61,NAC Breda,€425K,€1K
P. Fernández,30,Argentina,61,Chacarita Juniors,€160K,€2K
A. Gerbo,27,Italy,61,Foggia,€230K,€1K
S. Benamar,24,Germany,61,Rot-Weiß Erfurt,€325K,€1K
Danilson,30,Colombia,61,Independiente Medellín,€190K,€1K
G. Carrasco,20,Argentina,61,Club Atlético Lanús,€325K,€2K
J. Clauss,24,France,61,US Quevilly-Rouen,€300K,€1K
L. Madej,35,Poland,61,Śląsk Wrocław,€110K,€1K
L. von Piechowski,23,Germany,61,Chemnitzer FC,€290K,€1K
S. Dembele,20,Scotland,61,Grimsby Town,€400K,€2K
I. Conté,21,Guinea,61,FC Lorient,€375K,€1K
G. Burke,23,Republic of Ireland,61,Shamrock Rovers,€350K,€1K
A. Georgiev,23,Bulgaria,61,,€0,€0.00
D. Srbeny,23,Germany,61,SC Paderborn 07,€350K,€1K
A. Plumain,22,France,61,US Quevilly-Rouen,€450K,€2K
L. Bender,29,Germany,61,SC Fortuna Köln,€190K,€1K
K. Tezuka,21,Japan,61,Kashiwa Reysol,€300K,€2K
N. Domínguez,19,Argentina,61,Vélez Sarsfield,€425K,€2K
D. Redmond,20,England,61,Scunthorpe United,€450K,€14K
C. Dimaio,21,Republic of Ireland,61,Chesterfield,€375K,€3K
T. Clancy,33,Republic of Ireland,61,Bray Wanderers,€100K,€1K
F. Ali,25,Sweden,61,AFC Eskilstuna,€325K,€1K
T. Reijnders,18,Netherlands,61,AZ Alkmaar,€525K,€1K
R. Siemaszko,30,Poland,61,Arka Gdynia,€240K,€2K
C. McGrandles,21,Scotland,61,Milton Keynes Dons,€475K,€2K
T. Heintz,18,Norway,61,Sarpsborg 08 FF,€425K,€1K
M. Kostyukov,25,Russia,61,Amkar Perm,€300K,€4K
A. Blackman,26,England,61,Barnet,€260K,€3K
S. Dooley,25,Northern Ireland,60,Cork City,€260K,€1K
M. Aquino,23,Argentina,60,Arsenal de Sarandí,€240K,€1K
P. Ghiglione,20,Italy,60,Vercelli,€450K,€4K
L. Robertone,20,Argentina,60,Vélez Sarsfield,€450K,€2K
M. Duckworth,25,Germany,60,Fleetwood Town,€220K,€1K
T. Taufflieb,24,France,60,US Quevilly-Rouen,€280K,€1K
Dani Cárdenas,20,Spain,60,Levante UD,€260K,€2K
A. Cervantes,19,Mexico,60,Club León,€400K,€3K
E. Björkander,21,Sweden,60,GIF Sundsvall,€280K,€1K
Carlos Alves,19,Portugal,60,Rio Ave FC,€230K,€1K
Park Jung Ho,20,Korea Republic,60,Jeonbuk Hyundai Motors,€290K,€1K
K. Dabila,20,Ivory Coast,60,LOSC Lille,€290K,€4K
M. Valenzuela,18,Argentina,60,Newell's Old Boys,€375K,€1K
Lucas,24,Brazil,60,FC Luzern,€230K,€1K
D. Batallini,21,Argentina,60,Argentinos Juniors,€325K,€2K
A. Kotnik,21,Slovenia,60,Crotone,€300K,€2K
T. Chalobah,17,England,60,Chelsea,€375K,€6K
J. Ibarra,21,Mexico,60,Tigres U.A.N.L.,€325K,€6K
A. Al Fahmi,26,Saudi Arabia,60,Al Qadisiyah,€190K,€2K
N. Granatowski,26,Germany,60,SV Meppen,€240K,€1K
Javi Pérez,21,Spain,60,Real Valladolid,€325K,€1K
M. Bustos,21,Canada,60,Vancouver Whitecaps FC,€300K,€1K
D. Kelly-Evans,20,England,60,Coventry City,€400K,€2K
Woo Chan Yang,20,Korea Republic,60,Pohang Steelers,€325K,€1K
J. Williams,20,England,60,Barnsley,€325K,€8K
E. Nolan,28,Republic of Ireland,60,Crewe Alexandra,€160K,€3K
S. Hoare,23,Republic of Ireland,60,Dundalk,€250K,€1K
G. Dahl,20,Denmark,60,Silkeborg IF,€400K,€1K
Seo Jae Min,19,Korea Republic,60,Daegu FC,€350K,€1K
B. Swanson,19,United States,60,Columbus Crew SC,€350K,€1K
P. Cherrie,33,Scotland,60,Bray Wanderers,€100K,€1K
S. Nelson,35,England,60,Gillingham,€50K,€1K
Marc Rovirola,24,Spain,60,Albacete Balompié,€270K,€1K
T. Kok,19,Netherlands,60,Willem II,€270K,€1K
D. Schmidt,25,Japan,60,Vegalta Sendai,€190K,€1K
A. García,21,Mexico,60,Deportivo Toluca,€280K,€2K
M. Rochester Sørensen,24,Denmark,60,Silkeborg IF,€290K,€2K
B. Nlaté,20,Cameroon,60,Olympique de Marseille,€250K,€3K
C. Villagra,21,Argentina,60,Banfield,€375K,€2K
K. Mac Allister,19,Argentina,60,Argentinos Juniors,€300K,€1K
P. Sabak,18,Belgium,60,KRC Genk,€425K,€1K
R. Lucena,20,Venezuela,60,Atletico Nacional Medellin,€450K,€1K
D. Cole,25,Scotland,60,Derry City,€250K,€1K
M. Hauptmeijer,20,Netherlands,60,PEC Zwolle,€260K,€1K
H. Hallberg,20,Sweden,60,Kalmar FF,€325K,€1K
J. Calero,18,Colombia,60,Pachuca,€425K,€3K
J. Kanakubo,29,Japan,60,Vegalta Sendai,€200K,€1K
Juampe,21,Spain,60,Cádiz C.F.,€300K,€1K
Na Sang Ho,20,Korea Republic,60,GwangJu FC,€375K,€1K
T. Dingwall,22,Scotland,60,Ross County FC,€280K,€1K
H. Watson,24,New Zealand,60,Wellington Phoenix,€280K,€1K
M. Browne,19,England,60,West Ham United,€450K,€6K
Quintana,21,Spain,60,Levante UD,€350K,€3K
D. Johnstone,22,Scotland,60,St. Johnstone FC,€325K,€2K
A. Karnuçu,17,Turkey,60,Galatasaray SK,€375K,€3K
S. Saucedo,20,United States,60,Real Salt Lake,€325K,€1K
J. Durán,20,Mexico,60,Club León,€350K,€3K
B. Turan,20,Turkey,60,Kasimpaşa SK,€325K,€2K
Diego Barri,21,Spain,60,Getafe CF,€280K,€2K
R. Asaad,22,Sweden,60,Hammarby IF,€325K,€1K
O. Ural,20,Turkey,60,Kasimpaşa SK,€290K,€2K
B. Bingham,26,England,60,Gillingham,€200K,€2K
P. Staikos,21,Greece,60,Panathinaikos FC,€325K,€1K
J. Mendy,22,Senegal,60,US Quevilly-Rouen,€240K,€1K
N. Fazzi,22,Italy,60,Cesena,€290K,€1K
S. Londoño,22,Colombia,60,Envigado FC,€260K,€1K
M. Litka,21,Germany,60,FC St. Pauli,€375K,€2K
H. Shiota,36,Japan,60,Omiya Ardija,€30K,€1K
T. Verlinden,17,Belgium,60,Stoke City,€400K,€5K
A. La Gumina,21,Italy,60,Palermo,€350K,€1K
M. Sanhaji,18,Morocco,60,CD Numancia,€280K,€1K
N. Menéndez,23,Argentina,60,Chacarita Juniors,€260K,€2K
A. Jones,19,England,60,Southampton,€400K,€5K
D. Herrera,21,Colombia,60,Patriotas Boyacá FC,€350K,€1K
L. Sinisterra,18,Colombia,60,CD Once Caldas Manizales,€425K,€1K
C. Sánchez,18,Argentina,60,Talleres de Cordoba,€425K,€1K
G. Groba,21,Argentina,60,Chacarita Juniors,€300K,€2K
L. O'Brien,25,England,60,Coventry City,€200K,€2K
J. Łukowski,21,Poland,60,Wisła Płock,€290K,€1K
W. Kurtovic,21,Sweden,60,Sandefjord Fotball,€325K,€1K
A. Jung,19,France,60,Stade de Reims,€350K,€1K
L. Ten Teije,19,Netherlands,60,Vitesse,€375K,€1K
A. Sødlund,20,Norway,60,Sandefjord Fotball,€325K,€1K
A. Faustin,20,Haiti,60,SV Zulte-Waregem,€350K,€2K
M. Kurogi,27,Japan,60,Ventforet Kofu,€230K,€1K
S. Ito,28,Japan,60,Yokohama F. Marinos,€210K,€2K
M. Scannella,30,France,60,Bourg en Bresse Péronnas 01,€130K,€1K
M. Nys,20,Belgium,60,Waasland-Beveren,€290K,€1K
André Sousa,19,Portugal,60,Vitória Setúbal,€350K,€1K
Y. Çetin,20,Turkey,60,Gençlerbirliği SK,€290K,€2K
Tienza,20,Spain,60,Real Betis Balompié,€260K,€2K
M. Al Wakid,25,Saudi Arabia,60,Al Hilal,€200K,€4K
J. Firpo,20,Dominican Republic,60,Real Betis Balompié,€290K,€2K
H. Burgoyne,20,England,60,Wolverhampton Wanderers,€375K,€4K
S. Omeonga,21,Belgium,60,Genoa,€375K,€3K
D. Valdez,24,Argentina,60,Atlético Tucumán,€240K,€1K
N. Welbeck,22,Ghana,60,Odense Boldklub,€325K,€2K
F. Perradin,25,France,60,Bourg en Bresse Péronnas 01,€230K,€1K
N. Gotfredsen,28,Denmark,60,Hobro IK,€210K,€2K
D. Szymański,22,Poland,60,Wisła Płock,€240K,€1K
Valera,20,Spain,60,SD Huesca,€240K,€1K
J. Manière,25,Switzerland,60,FC Lausanne-Sports,€220K,€2K
M. Işık,20,Turkey,60,Medicana Sivasspor,€300K,€2K
Lee Eun Beom,21,Korea Republic,60,Jeju United FC,€300K,€1K
D. Zamora,20,Colombia,60,CD Los Millionarios Bogota,€290K,€1K
M. Ellingsen,22,Norway,60,Molde FK,€300K,€1K
S. Mutlu,20,Turkey,60,Medicana Sivasspor,€290K,€2K
L. Schnellbacher,23,Germany,60,VfR Aalen,€290K,€1K
M. Mitrović,25,Sweden,60,SønderjyskE,€280K,€2K
K. Skoglund,29,Sweden,60,IK Sirius,€160K,€1K
B. Urbański,19,Poland,60,Willem II,€450K,€1K
R. Tavera,21,Colombia,60,Atlético Huila,€325K,€1K
T. Bouriaud,20,France,60,FC Nantes,€400K,€3K
R. Sprangers,19,Haiti,60,NAC Breda,€400K,€1K
V. Sköld,27,Sweden,60,Örebro SK,€220K,€1K
Park Jeong Su,23,Korea Republic,60,Yokohama F. Marinos,€220K,€1K
Kim Jin Ya,19,Korea Republic,60,Incheon United FC,€350K,€1K
Junior Messias,26,Brazil,60,Vercelli,€260K,€1K
Y. Ogawa,32,Japan,60,Albirex Niigata,€160K,€1K
Lim Seong Taek,28,Korea Republic,60,Sangju Sangmu FC,€210K,€1K
M. Chouiar,18,France,60,RC Lens,€425K,€1K
Loureiro,20,Spain,60,Córdoba CF,€260K,€1K
G. Adzhoev,22,Russia,60,Arsenal Tula,€290K,€4K
M. Peralta,20,Argentina,60,Atlético Tucumán,€325K,€1K
N. Obolskiy,20,Russia,60,Dinamo Moscow,€300K,€4K
R. Souici,19,France,60,AS Saint-Étienne,€450K,€3K
M. Bruhn,26,Denmark,60,FC Helsingør,€190K,€1K
Allef,22,Brazil,60,Vitória Setúbal,€290K,€1K
M. Böcskör,34,Austria,60,SV Mattersburg,€80K,€3K
D. Mboumbouni,21,France,60,Olympique Lyonnais,€290K,€5K
Z. Mathers,23,United States,60,Seattle Sounders FC,€280K,€1K
A. Makarov,21,Russia,60,CSKA Moscow,€350K,€5K
S. Gomez,20,Trinidad & Tobago,60,New York City Football Club,€260K,€1K
Bruno Jordão,18,Portugal,60,Lazio,€425K,€1K
J. Meade,24,England,60,AFC Eskilstuna,€230K,€1K
R. Matthews,23,England,60,Norwich City,€240K,€3K
B. Allain,25,France,60,Dijon FCO,€200K,€2K
Jang Cheol Yong,21,Korea Republic,60,Pohang Steelers,€260K,€1K
M. Perg,25,Uruguay,60,Deportivo Toluca,€230K,€2K
L. O'Neil,23,England,60,Cambridge United,€210K,€2K
I. Näsberg,21,Norway,60,Vålerenga Fotball,€280K,€1K
B. Kennedy,20,Northern Ireland,60,Stevenage,€375K,€2K
K. O'Connor,22,Republic of Ireland,60,Preston North End,€290K,€2K
P. Daka,18,Zambia,60,FC Red Bull Salzburg,€425K,€3K
T. Watson,20,England,60,Reading,€350K,€3K
J. Günther-Schmidt,22,Germany,60,FC Carl Zeiss Jena,€325K,€3K
J. Dasilva,19,England,60,Charlton Athletic,€400K,€1K
K. Gipson,21,Germany,60,SV Sandhausen,€290K,€1K
M. Soisalo,19,Finland,60,Middlesbrough,€450K,€2K
M. Fossum Basse,20,Denmark,60,FC Helsingør,€425K,€1K
G. Loiacono,25,Italy,60,Foggia,€230K,€1K
J. Barrett Laursen,22,Denmark,60,Odense Boldklub,€270K,€2K
S. Rouiller,26,Switzerland,60,FC Lugano,€220K,€1K
K. Scott,19,United States,60,Chelsea,€450K,€7K
J. Levi,21,Sweden,60,Rosenborg BK,€300K,€1K
S. Kelly,23,England,60,Grimsby Town,€290K,€2K
K. Dankowski,20,Poland,60,Śląsk Wrocław,€290K,€1K
F. Henríquez,22,Argentina,60,Godoy Cruz,€290K,€2K
Park Se Jin,21,Korea Republic,60,Daegu FC,€300K,€1K
R. Armand,30,France,60,GFC Ajaccio,€200K,€1K
L. Noble,26,England,60,Forest Green,€250K,€3K
L. McCullough,23,Northern Ireland,60,Doncaster Rovers,€260K,€1K
A. Calver,21,Australia,60,Sydney FC,€240K,€1K
E. Lecygne,20,France,60,Stoke City,€325K,€6K
L. Mosevich,20,Argentina,60,Argentinos Juniors,€325K,€1K
J. Tymon,18,England,60,Stoke City,€375K,€4K
S. Roa,21,Colombia,60,Tigres FC,€280K,€1K
R. Bowman,25,England,60,Motherwell,€260K,€1K
S. Vernon,33,England,60,Grimsby Town,€130K,€2K
M. Maria,22,Curacao,60,FC Erzgebirge Aue,€260K,€1K
H. Cakin,25,France,60,Stade de Reims,€220K,€1K
J. Greenspan,24,United States,60,Minnesota Thunder,€230K,€1K
S. Deslandes,20,France,60,Wolverhampton Wanderers,€400K,€5K
L. Amos,20,England,60,Tottenham Hotspur,€325K,€7K
F. De Paoli,20,Italy,60,Chievo Verona,€400K,€2K
M. Bloomfield,33,England,60,Wycombe Wanderers,€120K,€3K
L. Choutesiotis,22,Greece,60,Olympiakos CFP,€210K,€1K
A. Peláez,23,Mexico,60,Cruz Azul,€210K,€3K
A. Confente,19,Italy,60,Chievo Verona,€375K,€1K
C. Clough,26,England,60,Barnet,€180K,€2K
A. Angulo,20,Colombia,60,Águilas Doradas,€350K,€1K
S. Gartenmann,20,Denmark,60,SønderjyskE,€425K,€2K
E. Alderete,21,Argentina,60,Chacarita Juniors,€300K,€2K
R. Raveloson,20,France,60,Tours FC,€300K,€1K
F. Hollinger-Janzen,23,Benin,60,New England Revolution,€290K,€1K
T. Dieng,25,France,60,Bradford City,€220K,€2K
T. Dzhamalutdinov,20,Russia,60,FC Anzhi Makhachkala,€350K,€3K
M. Piccinocchi,22,Italy,60,FC Lugano,€290K,€1K
K. Davis,19,England,60,Aston Villa,€400K,€3K
F. Çakır,22,Turkey,60,İstanbul Başakşehir FK,€240K,€2K
S. Abdullah,28,Saudi Arabia,60,Ohod Club,€160K,€3K
P. Schürpf,27,Switzerland,60,FC Luzern,€220K,€2K
A. Taylor-Sinclair,26,Scotland,60,Plymouth Argyle,€210K,€2K
S. Knežević,20,Switzerland,60,FC Luzern,€425K,€1K
L. Vila,25,Argentina,60,Bahía Blanca,€280K,€2K
M. López,19,Argentina,60,Banfield,€350K,€2K
K. Touré,23,Mali,60,Royal Antwerp FC,€300K,€2K
L. Angol,22,England,60,Mansfield Town,€300K,€3K
Hong Joon Ho,23,Korea Republic,60,GwangJu FC,€260K,€1K
N. Linares,21,Argentina,60,Banfield,€325K,€2K
J. Nanizayamo,26,France,60,Gangwon FC,€250K,€1K
E. Palomeque,24,Colombia,60,Atletico Nacional Medellin,€250K,€1K
Kim Si Woo,20,Korea Republic,60,GwangJu FC,€450K,€1K
A. Barylla,20,Germany,60,FSV Zwickau,€325K,€1K
A. Michel,24,Sweden,60,AFC Eskilstuna,€240K,€1K
I. Maela,24,South Africa,60,Orlando Pirates,€220K,€1K
R. Taylor,22,Finland,60,AIK Solna,€290K,€1K
A. Sarr,26,Senegal,60,Bourg en Bresse Péronnas 01,€250K,€1K
Pedro López,20,Spain,60,CD Lugo,€325K,€1K
O. Olomola,19,England,60,Yeovil Town,€375K,€6K
M. Fofana,19,Mali,60,Alanyaspor,€400K,€1K
D. Contreras,23,Colombia,60,Jaguares Fútbol Club,€280K,€1K
V. Wojtkowiak,20,France,60,RC Lens,€325K,€1K
D. Bilonog,22,Ukraine,60,FC Ural,€350K,€4K
J. Andrada,22,Argentina,60,Godoy Cruz,€280K,€2K
R. Petretta,20,Italy,60,FC Basel,€400K,€4K
M. Kaye,22,Canada,60,,€0,€0.00
O. Alseth,22,Norway,60,Toronto FC,€260K,€1K
David Gil,23,Spain,60,Cádiz C.F.,€200K,€1K
Julen Etxabeguren,26,Spain,60,Dundee FC,€220K,€1K
A. Forrester,23,England,60,Port Vale,€270K,€2K
C. Højer,22,Denmark,60,Lyngby BK,€290K,€1K
O. Camilo,22,Colombia,60,Corporación Club Deportivo Tuluá,€350K,€1K
F. Hinds,18,England,60,Cheltenham Town,€425K,€4K
F. Lora,23,Italy,60,Cittadella,€300K,€1K
N. Al Dhafeeri,35,Saudi Arabia,60,Al Batin,€50K,€1K
T. Hadebe,21,Zimbabwe,60,Kaizer Chiefs,€290K,€1K
C. Seiler,23,United States,60,Vancouver Whitecaps FC,€230K,€1K
S. Palombi,21,Italy,60,Lazio,€375K,€5K
B. Al Mutairi,27,Saudi Arabia,60,Al Batin,€170K,€2K
F. Muslija,18,Germany,60,Karlsruher SC,€300K,€1K
J. Koutroumbis,19,Australia,60,Newcastle Jets,€280K,€1K
E. Mour Samb,23,Senegal,60,Tromsø IL,€300K,€1K
Casitas,21,Spain,60,UD Almería,€240K,€1K
P. De Smet,19,Belgium,60,SV Zulte-Waregem,€325K,€1K
J. Kade,18,Germany,60,Hertha BSC Berlin,€425K,€2K
L. Hoffmann,20,Germany,60,SG Sonnenhof Großaspach,€290K,€1K
A. Aschauer,25,Austria,60,SG Sonnenhof Großaspach,€260K,€1K
N. Cowburn,22,Australia,60,Newcastle Jets,€230K,€1K
A. Nalini,27,Italy,60,Crotone,€220K,€2K
L. Fritzson,21,Sweden,60,Östersunds FK,€300K,€1K
E. Pezzi,27,Italy,60,Cittadella,€170K,€1K
K. Skaanes,22,Norway,60,SK Brann,€350K,€1K
C. Opéri,20,Ivory Coast,60,La Berrichonne de Châteauroux,€400K,€1K
L. Passerini,22,Argentina,60,Club Atlético Tigre,€290K,€2K
A. El Hriti,27,France,60,Tours FC,€170K,€1K
V. Haroyan,24,Armenia,60,FC Ural,€240K,€4K
G. Benítez,23,Argentina,60,Argentinos Juniors,€240K,€2K
S. Gregov,27,Croatia,60,Viking FK,€200K,€1K
A. Hirzel,24,Switzerland,60,Hamburger SV,€190K,€3K
N. Atangana,27,France,60,Cheltenham Town,€210K,€2K
M. Kleinsorge,21,Germany,60,SV Meppen,€300K,€1K
K. Wagner,20,Germany,60,Würzburger FV,€250K,€1K
K. Vincent-Young,21,England,60,Colchester United,€260K,€2K
D. Mordini,20,Italy,60,Cesena,€290K,€1K
R. Fulton,21,Scotland,60,Hamilton Academical FC,€220K,€1K
Ricky Alonso,25,Spain,60,AD Alcorcón,€190K,€1K
I. Jukić,21,Croatia,60,Korona Kielce,€300K,€1K
I. Zaid,27,Saudi Arabia,60,Al Faisaly,€170K,€3K
M. Leitsch,19,Germany,60,VfL Bochum,€325K,€1K
J. Goddard,24,England,60,Swindon Town,€290K,€2K
P. Kotal,23,India,60,,€0,€0.00
M. Patterson,20,New Zealand,60,Ipswich Town,€400K,€2K
E. Schulze,24,Norway,60,Sogndal,€280K,€1K
M. Seidel,22,Germany,60,1. FC Magdeburg,€240K,€1K
N. Haas,21,Switzerland,60,Atalanta,€400K,€3K
R. Henry,33,England,60,Stevenage,€80K,€2K
Tiago André,20,Portugal,60,Rio Ave FC,€290K,€1K
F. Pekşen,21,Turkey,60,Evkur Yeni Malatyaspor,€325K,€2K
F. Porath,20,Germany,60,SpVgg Unterhaching,€375K,€4K
B. Al Baqi,27,Saudi Arabia,60,Al Ahli,€170K,€4K
D. Hyam,21,Scotland,60,Coventry City,€325K,€2K
C. Wighton,19,Scotland,60,Dundee FC,€350K,€1K
G. Luer,22,England,60,Hull City,€325K,€2K
F. Troyansky,20,Argentina,60,Bahía Blanca,€450K,€1K
W. Nightingale,21,England,60,AFC Wimbledon,€350K,€1K
N. Janvier,18,France,60,Stade Rennais FC,€425K,€2K
S. Al Dosari,25,Saudi Arabia,60,Al Taawoun,€250K,€3K
O. Ökke,21,Turkey,60,Evkur Yeni Malatyaspor,€325K,€2K
L. Polvani,22,Italy,60,Empoli,€300K,€1K
A. Krysiak,27,Poland,60,Yeovil Town,€160K,€1K
N. Diallo,21,France,60,Stade Rennais FC,€325K,€2K
J. Coulson,28,England,60,Cambridge United,€170K,€3K
D. Wright,22,England,60,Colchester United,€300K,€2K
C. Jahraldo-Martin,24,Antigua & Barbuda,60,Newport County,€280K,€1K
D. Newton,26,England,60,Stevenage,€250K,€2K
D. Bulman,38,England,60,Crawley Town,€70K,€1K
L. Zarandia,21,Georgia,60,Arka Gdynia,€325K,€1K
M. Funk,21,Germany,60,SpVgg Greuther Fürth,€240K,€1K
Sergio García,19,Spain,60,Real Zaragoza,€270K,€1K
A. Galadzhan,19,Russia,60,Lokomotiv Moscow,€350K,€4K
D. von Ballmoos,22,Switzerland,60,BSC Young Boys,€290K,€2K
S. Arnold,27,England,60,Gillingham,€160K,€1K
L. Hägg-Johansson,22,Sweden,60,Kalmar FF,€230K,€1K
Ryu Jae Moon,23,Korea Republic,60,Daegu FC,€325K,€1K
H. Alpsoy,20,Switzerland,60,Antalyaspor,€425K,€2K
Y. Gómez,19,Colombia,60,Independiente Medellín,€400K,€1K
Tachi,19,Spain,60,Atlético Madrid,€400K,€3K
M. Evouna,24,Gabon,60,Atiker Konyaspor,€280K,€3K
M. Puerta,20,Colombia,60,Corporación Club Deportivo Tuluá,€400K,€1K
S. Tanser,22,England,60,St. Johnstone FC,€220K,€1K
K. Inada,32,Japan,60,Albirex Niigata,€120K,€1K
M. Gardawski,26,Germany,60,Korona Kielce,€240K,€1K
L. Jackson,22,Australia,60,Newcastle Jets,€280K,€1K
F. Eguelfi,22,Italy,60,Cesena,€240K,€1K
M. Bauer,22,Germany,60,SpVgg Unterhaching,€260K,€1K
N. Andereggen,17,Argentina,60,Unión de Santa Fe,€425K,€1K
E. Ndoj,20,Albania,60,Brescia,€325K,€1K
N. Holland,19,England,60,West Ham United,€450K,€6K
M. Ambrosiewicz,19,Poland,60,Górnik Zabrze,€280K,€1K
M. Salem,31,Saudi Arabia,60,Al Shabab,€140K,€4K
Álex Portillo,24,Spain,60,Jönköpings Södra IF,€230K,€1K
K. Alphonse,24,Ivory Coast,60,CD Feirense,€250K,€1K
M. Pugliese,21,Italy,60,Vercelli,€325K,€1K
T. Hirakawa,38,Japan,60,Urawa Red Diamonds,€70K,€1K
J. Berner,26,United States,60,Colorado Rapids,€190K,€1K
Kim Yeong Bin,25,Korea Republic,60,GwangJu FC,€230K,€1K
A. Natcho,20,Russia,60,Lokomotiv Moscow,€325K,€4K
M. Palienko,22,Russia,60,FC Tosno,€300K,€3K
D. Scarr,22,England,60,Wycombe Wanderers,€280K,€3K
N. Kalugin,19,Russia,60,Dinamo Moscow,€300K,€2K
M. Wdowiak,20,Poland,60,Cracovia,€300K,€1K
A. Reyes,24,Colombia,60,Corporación Club Deportivo Tuluá,€260K,€1K
T. Ndenge,20,Germany,60,Roda JC Kerkrade,€375K,€4K
R. Peña,25,Mexico,60,Querétaro,€210K,€2K
R. Yates,19,England,60,Notts County,€450K,€2K
C. Roberts,21,Wales,60,Middlesbrough,€400K,€6K
B. Gaye,19,Germany,60,DSC Arminia Bielefeld,€375K,€1K
C. Ndiaye,21,Senegal,60,Waasland-Beveren,€300K,€2K
F. Castellano,19,Italy,60,Ascoli,€450K,€1K
J. Pirinen,25,Finland,60,HJK Helsinki,€220K,€1K
L. Young,27,England,60,Crawley Town,€190K,€2K
L. Mandeville,20,England,60,Doncaster Rovers,€350K,€1K
H. Moukoudi,19,France,60,Le Havre AC,€400K,€1K
D. Bennett,27,England,60,Forest Green,€170K,€2K
F. Costa,28,Argentina,60,Club Atlético Patronato,€170K,€1K
M. Santos,23,Uruguay,60,Tiburones Rojos de Veracruz,€300K,€1K
A. Tartaglia,24,Italy,60,Novara,€240K,€1K
E. Nyarko,24,Ghana,60,SV Wehen Wiesbaden,€250K,€1K
B. Nordström,21,Sweden,60,IFK Göteborg,€280K,€1K
H. Zapata,22,Colombia,60,CD Once Caldas Manizales,€350K,€1K
D. Ferfelis,24,Germany,60,FSV Zwickau,€270K,€1K
H. Delcroix,18,Belgium,60,RSC Anderlecht,€375K,€2K
